course_id,assignment_type,title,description,max_score,due_date
Программирование 151,другое,Другое по Базовые,Подробное описание другое работы по курсу Базовые концепции программирования,47,2025-07-03
Программирование 151,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,23,2025-06-05
Программирование 151,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,45,2025-07-17
Право 429,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-07-10
Право 429,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы юриспруденции,39,2025-06-05
Право 429,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-07-03
Программирование 182,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,41,2025-06-19
Программирование 182,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,34,2025-07-03
Программирование 182,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,30,2025-07-17
Медицина 810,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,22,2025-07-10
Медицина 810,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-05-29
Медицина 810,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-06-19
Математический анализ 763,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-06-05
Математический анализ 763,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,44,2025-06-19
Математический анализ 763,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-06-19
Биология 731,другое,Другое по Основы,Подробное описание другое работы по курсу Основы биологии,22,2025-07-10
Биология 731,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы биологии,34,2025-06-26
Биология 731,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы биологии,100,2025-05-29
Экономика 372,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-06-26
Экономика 372,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,20,2025-06-12
Экономика 372,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,47,2025-06-26
Математический анализ 570,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-07-17
Математический анализ 570,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-06-26
Математический анализ 570,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,38,2025-06-05
Право 746,другое,Другое по Основы,Подробное описание другое работы по курсу Основы юриспруденции,31,2025-06-26
Право 746,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы юриспруденции,24,2025-06-05
Право 746,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-05-29
Химия 981,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,50,2025-06-19
Химия 981,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-07-17
Химия 981,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,28,2025-07-10
Право 419,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-07-03
Право 419,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-07-17
Право 419,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-06-26
Психология 463,практическая,Практическая по Введение,Подробное описание практическая работы по курсу Введение в психологию,100,2025-06-19
Психология 463,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-26
Психология 463,реферат,Реферат по Введение,Подробное описание реферат работы по курсу Введение в психологию,26,2025-05-29
Программирование 606,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-10
Программирование 606,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-06-26
Программирование 606,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-17
Медицина 552,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-07-03
Медицина 552,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,36,2025-07-03
Медицина 552,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,46,2025-07-03
Литература 801,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-06-26
Литература 801,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-06-19
Литература 801,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-06-26
Экономика 136,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,45,2025-06-05
Экономика 136,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-05
Экономика 136,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-07-17
Психология 603,доклад,Доклад по Введение,Подробное описание доклад работы по курсу Введение в психологию,28,2025-07-17
Психология 603,доклад,Доклад по Введение,Подробное описание доклад работы по курсу Введение в психологию,24,2025-07-10
Психология 603,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-12
Программирование 881,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-06-26
Программирование 881,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-07-03
Программирование 881,лабораторная,Лабораторная по Базовые,Подробное описание лабораторная работы по курсу Базовые концепции программирования,100,2025-07-10
Математический анализ 178,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,25,2025-06-05
Математический анализ 178,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-05-29
Математический анализ 178,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,23,2025-06-26
Литература 669,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая литература,29,2025-07-17
Литература 669,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-06-12
Литература 669,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,49,2025-07-10
Программирование 734,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,48,2025-06-05
Программирование 734,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,24,2025-06-26
Программирование 734,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-06-26
Математический анализ 555,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,49,2025-06-12
Математический анализ 555,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,23,2025-06-26
Математический анализ 555,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,36,2025-07-17
Программирование 353,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,35,2025-07-10
Программирование 353,доклад,Доклад по Базовые,Подробное описание доклад работы по курсу Базовые концепции программирования,34,2025-07-03
Программирование 353,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,34,2025-06-26
Математический анализ 479,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,28,2025-06-12
Математический анализ 479,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-07-03
Математический анализ 479,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,39,2025-07-03
Математический анализ 192,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,20,2025-05-29
Математический анализ 192,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,30,2025-06-12
Математический анализ 192,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,38,2025-07-10
Математический анализ 282,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,26,2025-05-29
Математический анализ 282,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы математического анализа,100,2025-07-03
Математический анализ 282,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,25,2025-07-03
Экономика 988,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,25,2025-07-10
Экономика 988,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-07-17
Экономика 988,реферат,Реферат по Принципы,Подробное описание реферат работы по курсу Принципы экономики,29,2025-06-05
Химия 751,практическая,Практическая по Общая,Подробное описание практическая работы по курсу Общая химия,100,2025-07-17
Химия 751,доклад,Доклад по Общая,Подробное описание доклад работы по курсу Общая химия,28,2025-07-17
Химия 751,реферат,Реферат по Общая,Подробное описание реферат работы по курсу Общая химия,30,2025-05-29
Литература 155,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,25,2025-06-26
Литература 155,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая литература,45,2025-05-29
Литература 155,практическая,Практическая по Мировая,Подробное описание практическая работы по курсу Мировая литература,100,2025-06-05
Медицина 450,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,21,2025-06-05
Медицина 450,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,49,2025-06-12
Медицина 450,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы медицинских знаний,42,2025-07-10
История 942,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая история,39,2025-06-05
История 942,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая история,100,2025-06-05
История 942,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая история,49,2025-05-29
Экономика 353,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,48,2025-06-19
Экономика 353,доклад,Доклад по Принципы,Подробное описание доклад работы по курсу Принципы экономики,38,2025-06-26
Экономика 353,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,33,2025-06-12
Литература 215,лабораторная,Лабораторная по Мировая,Подробное описание лабораторная работы по курсу Мировая литература,100,2025-05-29
Литература 215,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,32,2025-06-26
Литература 215,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,33,2025-07-17
Право 279,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы юриспруденции,32,2025-06-26
Право 279,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-06-05
Право 279,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы юриспруденции,25,2025-07-10
Математический анализ 826,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,33,2025-06-26
Математический анализ 826,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,34,2025-07-10
Математический анализ 826,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы математического анализа,45,2025-06-12
Литература 206,другое,Другое по Мировая,Подробное описание другое работы по курсу Мировая литература,49,2025-06-19
Литература 206,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,26,2025-07-17
Литература 206,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,23,2025-06-05
Программирование 276,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,25,2025-07-03
Программирование 276,реферат,Реферат по Базовые,Подробное описание реферат работы по курсу Базовые концепции программирования,30,2025-06-05
Программирование 276,практическая,Практическая по Базовые,Подробное описание практическая работы по курсу Базовые концепции программирования,100,2025-07-17
Экономика 281,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-06-05
Экономика 281,реферат,Реферат по Принципы,Подробное описание реферат работы по курсу Принципы экономики,38,2025-06-19
Экономика 281,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-07-03
Экономика 931,другое,Другое по Принципы,Подробное описание другое работы по курсу Принципы экономики,27,2025-06-26
Экономика 931,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-07-03
Экономика 931,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-06-19
Математический анализ 940,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,44,2025-07-17
Математический анализ 940,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,39,2025-07-03
Математический анализ 940,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-07-17
Медицина 742,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы медицинских знаний,100,2025-06-05
Медицина 742,другое,Другое по Основы,Подробное описание другое работы по курсу Основы медицинских знаний,37,2025-06-12
Медицина 742,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы медицинских знаний,41,2025-07-17
Экономика 120,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-07-17
Экономика 120,лабораторная,Лабораторная по Принципы,Подробное описание лабораторная работы по курсу Принципы экономики,100,2025-06-19
Экономика 120,практическая,Практическая по Принципы,Подробное описание практическая работы по курсу Принципы экономики,100,2025-07-10
Биология 372,другое,Другое по Основы,Подробное описание другое работы по курсу Основы биологии,22,2025-05-29
Биология 372,доклад,Доклад по Основы,Подробное описание доклад работы по курсу Основы биологии,38,2025-06-12
Биология 372,другое,Другое по Основы,Подробное описание другое работы по курсу Основы биологии,39,2025-07-17
Химия 576,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,49,2025-07-17
Химия 576,лабораторная,Лабораторная по Общая,Подробное описание лабораторная работы по курсу Общая химия,100,2025-07-17
Химия 576,другое,Другое по Общая,Подробное описание другое работы по курсу Общая химия,26,2025-07-10
Литература 157,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,44,2025-06-05
Литература 157,реферат,Реферат по Мировая,Подробное описание реферат работы по курсу Мировая литература,45,2025-07-17
Литература 157,доклад,Доклад по Мировая,Подробное описание доклад работы по курсу Мировая литература,29,2025-06-26
Право 399,лабораторная,Лабораторная по Основы,Подробное описание лабораторная работы по курсу Основы юриспруденции,100,2025-07-10
Право 399,другое,Другое по Основы,Подробное описание другое работы по курсу Основы юриспруденции,32,2025-05-29
Право 399,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы юриспруденции,100,2025-06-05
Математический анализ 398,другое,Другое по Основы,Подробное описание другое работы по курсу Основы математического анализа,42,2025-06-26
Математический анализ 398,практическая,Практическая по Основы,Подробное описание практическая работы по курсу Основы математического анализа,100,2025-06-19
Математический анализ 398,реферат,Реферат по Основы,Подробное описание реферат работы по курсу Основы математического анализа,49,2025-07-17
Психология 816,другое,Другое по Введение,Подробное описание другое работы по курсу Введение в психологию,31,2025-06-19
Психология 816,лабораторная,Лабораторная по Введение,Подробное описание лабораторная работы по курсу Введение в психологию,100,2025-06-05
