grade_id,student_id,course_id,grade,grade_date,exam_type
55,3854,3,2.4,2025-06-21,курсовая
56,4656,6,2.4,2024-10-14,зачет
57,7355,6,3.7,2025-02-17,курсовая
58,9666,19,3.2,2025-05-10,курсовая
59,8411,1,4.9,2025-04-01,курсовая
60,3945,38,4.3,2024-09-11,экзамен
61,3158,46,2.9,2024-11-24,курсовая
62,6080,18,2.2,2024-10-24,экзамен
63,6052,26,3.0,2025-04-22,экзамен
64,885,13,4.8,2025-05-28,курсовая
65,1779,34,2.3,2025-05-09,курсовая
66,6812,3,2.8,2025-02-25,экзамен
67,9052,41,4.2,2025-06-19,зачет
68,8767,22,3.3,2025-03-06,курсовая
69,4446,48,4.8,2024-09-28,курсовая
70,1131,46,4.9,2025-04-15,курсовая
71,4607,43,3.8,2025-01-13,экзамен
72,4060,42,4.8,2024-11-04,курсовая
73,7117,26,5.0,2025-01-29,зачет
74,7665,31,3.9,2025-01-19,экзамен
75,3152,24,3.9,2025-03-22,зачет
76,866,29,4.9,2025-02-27,курсовая
77,4258,9,3.4,2025-01-22,курсовая
78,8794,42,2.1,2024-11-18,зачет
79,6678,41,2.5,2025-01-29,зачет
80,466,26,2.1,2024-10-28,курсовая
81,6275,29,5.0,2024-09-02,зачет
82,9750,7,5.0,2025-02-15,курсовая
83,4600,9,3.2,2024-10-05,курсовая
84,1801,20,2.0,2025-05-11,зачет
85,1618,34,4.5,2025-03-31,экзамен
86,3727,13,2.2,2025-05-28,зачет
87,6615,7,3.1,2025-04-20,курсовая
88,6350,10,4.5,2025-04-04,зачет
89,6072,41,5.0,2025-04-22,экзамен
90,357,21,4.6,2024-10-24,курсовая
91,6297,17,3.4,2025-04-08,курсовая
92,5554,5,3.6,2024-09-23,зачет
93,9570,12,4.5,2025-03-27,экзамен
94,7911,44,4.1,2025-03-17,курсовая
95,4192,42,2.3,2024-09-11,курсовая
96,5221,46,2.8,2025-06-04,зачет
97,7701,14,4.6,2025-05-28,экзамен
98,9923,8,4.1,2024-10-24,экзамен
99,5470,23,2.2,2025-01-11,экзамен
100,9415,42,4.8,2025-03-12,курсовая
101,6503,36,3.8,2024-10-31,экзамен
102,461,7,3.4,2025-05-08,экзамен
103,4596,36,2.2,2024-09-11,зачет
104,5222,19,2.8,2025-04-18,экзамен
105,3833,36,2.2,2024-10-18,экзамен
106,1240,21,3.7,2024-10-09,курсовая
107,2190,11,3.9,2025-01-22,зачет
108,2238,6,3.5,2025-01-13,экзамен
109,3237,7,4.8,2024-10-30,курсовая
110,1819,24,4.8,2025-01-10,экзамен
111,4202,11,3.8,2025-01-14,экзамен
112,8913,29,2.3,2024-09-15,экзамен
113,4439,19,4.9,2025-03-18,зачет
114,4211,41,3.6,2025-01-25,зачет
115,229,36,2.9,2024-12-09,экзамен
116,3655,12,4.2,2025-06-16,экзамен
117,3048,3,3.3,2024-11-28,курсовая
118,2605,24,3.3,2024-11-02,зачет
119,6738,49,3.2,2024-10-28,курсовая
120,8819,11,4.2,2025-03-11,экзамен
121,5626,12,2.1,2024-11-30,курсовая
122,834,41,3.1,2024-11-01,курсовая
123,9224,27,4.0,2025-01-16,курсовая
124,3622,40,2.3,2025-03-06,курсовая
125,7819,28,4.6,2025-04-06,зачет
126,899,31,4.6,2024-12-27,экзамен
127,4552,38,4.1,2024-11-26,экзамен
128,5612,35,3.6,2025-04-15,зачет
129,9284,48,2.1,2025-01-15,курсовая
130,7995,39,3.9,2024-09-02,зачет
131,4629,24,4.8,2024-09-06,курсовая
132,1777,24,4.6,2024-10-28,зачет
133,8625,36,3.0,2025-05-06,экзамен
134,1914,39,2.8,2024-12-22,зачет
135,6785,31,4.7,2024-10-18,экзамен
136,9928,42,2.8,2024-10-21,зачет
137,7580,11,2.1,2024-10-16,экзамен
138,6789,34,3.2,2025-04-13,зачет
139,2385,22,3.2,2025-01-15,зачет
140,8897,27,3.1,2024-10-26,курсовая
141,5293,32,3.0,2024-10-27,курсовая
142,6678,38,3.5,2024-11-17,экзамен
143,8257,32,3.3,2025-02-16,зачет
144,5952,29,3.8,2024-12-18,курсовая
145,2870,26,2.7,2025-06-05,курсовая
146,4749,1,2.7,2025-05-18,экзамен
147,9310,33,4.5,2025-03-10,экзамен
148,3053,16,3.1,2024-12-28,экзамен
149,4548,29,4.5,2024-12-31,курсовая
150,1795,24,3.9,2024-11-27,курсовая
151,1608,23,3.2,2025-04-17,зачет
152,2697,11,3.6,2025-01-10,курсовая
153,6749,23,4.1,2025-05-14,экзамен
154,8917,36,4.0,2025-03-25,экзамен
155,3473,20,2.3,2025-05-28,экзамен
156,6083,40,3.9,2025-05-23,экзамен
157,1284,38,4.9,2025-02-18,курсовая
158,5829,17,2.3,2025-01-24,зачет
159,1822,8,4.7,2025-04-02,зачет
160,2767,46,3.5,2025-06-19,зачет
161,7896,3,2.9,2025-01-20,экзамен
162,7617,18,4.4,2025-05-08,курсовая
163,7437,42,4.2,2024-12-04,экзамен
164,3817,19,4.7,2024-10-27,курсовая
165,1843,29,4.3,2025-02-06,зачет
166,1265,6,4.1,2024-11-21,курсовая
167,6798,48,2.5,2025-02-05,курсовая
168,2886,29,3.6,2025-05-03,зачет
169,5761,4,4.8,2025-06-25,курсовая
170,4620,34,2.6,2024-09-25,курсовая
171,3628,10,4.1,2025-06-15,курсовая
172,5298,4,4.0,2024-09-07,курсовая
173,8240,19,2.0,2025-03-18,зачет
174,7464,24,3.3,2025-03-07,зачет
175,468,10,2.6,2025-01-18,зачет
176,7920,2,3.7,2025-04-10,экзамен
177,6996,20,4.2,2024-10-23,экзамен
178,5864,31,3.0,2025-03-04,зачет
179,8072,37,3.7,2025-03-22,курсовая
180,944,23,2.4,2024-11-05,зачет
181,4084,42,2.9,2024-12-19,курсовая
182,2518,30,2.4,2025-06-09,зачет
183,8417,29,3.8,2025-02-18,экзамен
184,4391,11,2.9,2025-03-07,зачет
185,9760,46,2.4,2024-11-06,курсовая
186,1738,16,4.8,2025-05-23,зачет
187,8531,39,2.7,2025-05-04,зачет
188,9066,26,2.0,2025-06-08,зачет
189,7083,23,4.0,2024-11-08,экзамен
190,815,39,4.0,2025-01-30,курсовая
191,4237,19,4.7,2024-12-11,курсовая
192,5151,12,3.0,2025-06-20,зачет
193,4137,40,4.1,2025-06-16,зачет
194,5902,30,2.1,2025-01-24,экзамен
195,6055,49,3.8,2024-11-30,зачет
196,4663,43,4.8,2025-06-08,зачет
197,1819,30,4.1,2025-06-05,зачет
198,5050,46,3.1,2025-03-03,экзамен
199,7881,23,2.6,2025-02-04,экзамен
200,7075,38,2.8,2024-10-21,курсовая
201,1466,27,2.8,2024-09-14,экзамен
202,8183,4,2.2,2025-04-22,курсовая
203,89,10,2.3,2025-05-29,зачет
204,6325,32,3.9,2025-02-14,зачет
205,5060,25,2.3,2025-04-13,зачет
206,9717,3,2.3,2024-11-22,зачет
207,9700,4,4.0,2025-03-27,курсовая
208,5486,49,4.3,2024-12-19,курсовая
209,8990,9,4.6,2025-06-18,зачет
210,6453,8,2.1,2025-02-16,курсовая
211,7781,34,3.8,2025-01-21,экзамен
212,7092,25,2.2,2024-10-13,курсовая
213,8590,11,3.6,2025-03-21,экзамен
214,4051,18,3.6,2024-12-28,курсовая
215,1147,47,4.5,2024-09-19,зачет
216,5250,42,2.4,2024-10-26,курсовая
217,7808,13,2.5,2024-10-22,курсовая
218,3293,1,4.7,2024-09-10,курсовая
219,9938,40,2.1,2025-06-03,курсовая
220,303,12,4.2,2024-11-19,зачет
221,6474,30,2.8,2024-10-28,зачет
222,41,43,2.1,2024-12-12,экзамен
223,101,17,4.0,2024-10-08,зачет
224,4411,3,4.1,2025-04-09,зачет
225,2096,4,3.8,2024-10-09,курсовая
226,807,20,2.3,2024-10-13,курсовая
227,8524,44,2.7,2025-01-29,зачет
228,890,39,2.5,2025-02-02,экзамен
229,6368,32,4.1,2024-11-29,экзамен
230,2333,35,2.6,2024-10-04,зачет
231,3480,22,2.7,2024-11-02,зачет
232,7098,4,4.6,2025-05-04,курсовая
233,1006,25,4.5,2025-05-18,зачет
234,2458,44,3.2,2025-05-05,курсовая
235,760,32,3.8,2025-02-22,зачет
236,4387,39,2.7,2025-02-23,зачет
237,3551,44,4.5,2024-10-10,зачет
238,2780,33,4.3,2025-04-14,зачет
239,6171,11,3.8,2024-09-06,зачет
240,887,49,4.6,2024-10-09,зачет
241,9354,44,4.7,2024-12-29,зачет
242,5161,49,2.3,2024-10-21,зачет
243,5855,46,3.8,2024-12-28,курсовая
244,4999,43,3.3,2025-02-13,экзамен
245,6404,5,4.1,2025-03-14,экзамен
246,9320,16,4.1,2025-03-20,курсовая
247,2646,12,2.8,2024-09-08,зачет
248,188,14,2.9,2025-01-07,курсовая
249,4354,48,4.1,2024-10-27,курсовая
250,1917,41,2.9,2025-04-03,зачет
251,1153,21,3.8,2024-11-20,курсовая
252,1472,39,2.6,2024-11-08,курсовая
253,6195,15,2.9,2024-09-23,зачет
254,833,27,4.9,2024-12-06,курсовая
255,2647,37,3.1,2025-06-21,курсовая
256,4889,14,3.3,2025-05-18,экзамен
257,707,11,2.4,2024-11-01,зачет
258,9583,37,2.5,2024-11-01,курсовая
259,3196,35,2.8,2025-02-27,курсовая
260,6072,38,3.8,2025-05-20,зачет
261,3170,13,3.9,2024-12-02,курсовая
262,5368,47,2.9,2024-09-13,курсовая
263,9330,29,2.5,2025-01-11,курсовая
264,5478,37,3.9,2024-10-26,экзамен
265,4706,49,3.0,2024-11-21,зачет
266,9969,34,3.9,2025-06-09,зачет
267,7651,19,3.2,2024-12-18,зачет
268,5302,3,2.5,2024-11-24,экзамен
269,8523,21,4.7,2024-12-17,курсовая
270,5613,7,2.6,2025-04-15,зачет
271,3175,38,3.5,2024-11-17,зачет
272,7047,29,4.3,2025-03-13,зачет
273,982,5,2.2,2025-02-03,экзамен
274,41,47,2.5,2024-11-04,экзамен
275,1192,10,2.7,2025-04-28,экзамен
276,8563,47,3.1,2025-02-24,зачет
277,3542,16,4.3,2024-10-19,курсовая
278,4411,6,2.2,2025-02-26,экзамен
279,4866,29,3.5,2025-02-26,курсовая
280,5669,47,4.0,2024-12-09,зачет
281,5588,10,2.9,2025-03-13,зачет
282,8424,46,4.1,2025-05-18,курсовая
283,3886,37,3.3,2024-10-24,курсовая
284,8643,37,3.7,2025-02-19,экзамен
285,2143,25,2.5,2025-04-03,зачет
286,4848,14,2.1,2025-01-08,экзамен
287,3239,5,4.1,2024-12-01,зачет
288,5737,13,4.9,2025-04-10,экзамен
289,5948,36,3.5,2024-12-19,экзамен
290,4849,19,3.3,2025-02-18,зачет
291,370,42,4.9,2025-03-07,зачет
292,9557,28,3.7,2025-04-25,курсовая
293,2566,4,2.8,2025-06-01,курсовая
294,1695,6,3.4,2024-12-30,зачет
295,5399,16,4.7,2024-09-03,зачет
296,298,44,2.1,2025-06-17,курсовая
297,1276,10,4.4,2025-03-09,экзамен
298,349,49,2.5,2025-06-10,экзамен
299,1705,8,2.4,2025-04-22,курсовая
300,9695,13,4.9,2024-10-23,зачет
301,1777,24,2.3,2024-10-07,экзамен
302,6961,42,3.5,2024-12-28,курсовая
303,2290,2,2.5,2025-03-21,экзамен
304,5998,14,2.3,2024-09-27,зачет
305,2135,34,3.2,2025-02-26,экзамен
306,3882,15,2.4,2025-01-30,курсовая
307,2145,39,2.9,2025-03-17,экзамен
308,5372,25,4.7,2024-10-24,экзамен
309,1772,19,3.9,2024-11-21,зачет
310,4505,32,2.4,2024-09-23,зачет
311,6576,10,3.6,2025-01-16,зачет
312,7350,24,3.7,2025-01-11,зачет
313,550,23,4.0,2025-05-28,экзамен
314,5963,45,2.3,2024-10-08,курсовая
315,3014,36,3.6,2024-09-19,зачет
316,3146,14,4.7,2025-03-25,экзамен
317,6585,41,3.0,2025-04-15,экзамен
318,4539,4,3.8,2024-12-20,зачет
319,679,5,2.6,2024-10-25,экзамен
320,6493,35,3.7,2025-05-26,курсовая
321,3177,4,2.1,2025-03-23,экзамен
322,5763,29,2.2,2025-06-09,зачет
323,7599,24,2.5,2024-12-02,экзамен
324,9082,21,3.1,2024-10-10,экзамен
325,5757,34,2.4,2025-03-12,зачет
326,9275,48,3.4,2025-02-02,курсовая
327,2723,27,3.1,2025-01-18,курсовая
328,3082,49,3.0,2025-03-20,экзамен
329,4804,27,5.0,2024-09-01,экзамен
330,9729,18,2.0,2025-03-13,экзамен
331,8860,19,3.5,2025-01-05,зачет
332,1310,29,4.2,2025-03-30,курсовая
333,218,7,4.1,2024-11-29,зачет
334,7268,44,4.8,2024-09-15,зачет
335,6565,25,3.7,2025-06-21,курсовая
336,9411,3,4.0,2025-04-09,экзамен
337,1805,3,5.0,2025-06-11,курсовая
338,2077,17,3.7,2024-12-22,курсовая
339,9324,15,3.4,2024-10-30,курсовая
340,6518,21,2.5,2025-03-15,экзамен
341,1387,20,4.1,2025-02-12,курсовая
342,144,3,2.4,2024-12-16,экзамен
343,1510,38,3.0,2024-11-15,зачет
344,8229,18,3.6,2025-02-17,зачет
345,6642,17,4.7,2024-12-19,экзамен
346,7560,3,3.0,2025-02-24,экзамен
347,3415,4,4.6,2024-12-16,экзамен
348,579,31,3.5,2025-06-09,экзамен
349,9917,11,3.2,2024-10-05,курсовая
350,7232,18,3.3,2024-12-13,курсовая
351,8847,13,4.4,2025-04-15,зачет
352,4535,23,2.2,2024-10-14,экзамен
353,6475,28,4.7,2025-03-12,экзамен
354,1008,44,4.0,2025-04-08,курсовая
355,6768,10,4.6,2025-06-09,зачет
356,1400,25,4.1,2024-12-20,зачет
357,4253,11,2.6,2024-11-11,зачет
358,6728,12,3.1,2025-02-25,курсовая
359,4909,33,2.6,2024-09-08,курсовая
360,313,21,3.1,2025-01-17,зачет
361,8238,30,4.0,2025-02-02,экзамен
362,3450,12,2.2,2024-09-19,курсовая
363,2423,8,3.0,2024-11-03,зачет
364,6904,2,3.7,2024-09-15,экзамен
365,9050,48,4.3,2025-03-12,курсовая
366,9079,30,3.8,2025-04-13,зачет
367,3191,39,4.6,2024-10-13,зачет
368,5066,20,2.8,2025-04-22,экзамен
369,2711,13,2.3,2025-04-25,экзамен
370,9436,25,4.3,2024-09-13,зачет
371,2845,22,2.3,2025-03-06,курсовая
372,5831,39,4.6,2024-10-27,курсовая
373,9082,21,2.1,2024-09-22,зачет
374,2338,14,4.9,2024-09-29,курсовая
375,78,11,4.7,2024-10-14,курсовая
376,1790,9,2.1,2025-06-09,курсовая
377,4612,32,4.0,2025-02-28,экзамен
378,9756,26,3.0,2025-06-11,экзамен
379,5112,38,2.3,2024-09-19,курсовая
380,24,8,4.4,2024-11-23,зачет
381,9262,33,2.0,2024-12-11,зачет
382,1326,26,2.7,2025-02-21,курсовая
383,4493,39,3.9,2025-04-20,зачет
384,2721,3,4.1,2025-01-15,курсовая
385,3699,37,2.8,2024-12-11,зачет
386,3091,7,4.4,2025-01-28,экзамен
387,5127,26,2.4,2024-11-10,зачет
388,4510,9,2.7,2025-02-11,курсовая
389,9578,17,4.6,2025-03-12,курсовая
390,4826,6,2.6,2024-11-13,зачет
391,6663,9,4.5,2025-02-13,экзамен
392,2133,43,2.1,2024-12-21,зачет
393,1391,5,2.8,2025-04-07,зачет
394,4667,10,3.1,2024-12-27,экзамен
395,3988,42,4.1,2025-04-01,курсовая
396,6689,34,4.0,2024-09-03,курсовая
397,3142,43,4.4,2025-05-05,зачет
398,7203,12,4.6,2024-10-25,курсовая
399,330,31,2.3,2025-04-11,курсовая
400,9092,49,2.5,2025-01-24,экзамен
401,5193,45,3.2,2025-03-26,зачет
402,4375,26,4.3,2025-01-30,экзамен
403,8907,43,3.8,2024-10-08,экзамен
404,8118,46,2.5,2024-10-29,экзамен
405,7804,2,4.1,2025-06-15,курсовая
406,4158,46,4.6,2025-02-26,зачет
407,1685,41,3.0,2024-12-16,курсовая
408,1289,25,3.4,2025-03-12,экзамен
409,3586,44,2.4,2025-03-25,экзамен
410,932,20,4.0,2025-02-10,экзамен
411,5919,6,2.7,2025-05-02,экзамен
412,7881,21,3.6,2025-04-05,экзамен
413,866,29,4.7,2025-04-17,зачет
414,3962,6,4.3,2025-03-12,зачет
415,7689,36,4.3,2024-10-20,экзамен
416,3347,17,2.3,2024-12-10,зачет
417,2327,29,4.1,2025-05-16,экзамен
418,5433,26,2.7,2025-05-24,экзамен
419,432,7,2.6,2024-10-26,экзамен
420,3148,15,4.9,2025-02-07,зачет
421,9589,16,2.8,2025-02-23,зачет
422,4230,13,2.6,2025-04-04,экзамен
423,3965,29,4.8,2025-04-23,экзамен
424,6018,42,3.8,2025-04-19,экзамен
425,8376,37,3.8,2025-02-15,экзамен
426,8950,26,2.9,2025-03-10,курсовая
427,2377,31,4.0,2025-03-17,зачет
428,3335,27,3.1,2024-12-04,экзамен
429,3569,6,3.8,2025-04-01,экзамен
430,498,25,3.9,2024-09-12,экзамен
431,5253,22,3.7,2025-04-13,курсовая
432,4156,36,3.1,2024-11-17,экзамен
433,6420,29,3.0,2025-05-31,курсовая
434,6395,42,3.5,2024-10-25,зачет
435,3485,34,2.9,2024-12-20,зачет
436,3297,24,2.3,2025-01-04,зачет
437,5104,13,2.5,2025-02-19,зачет
438,8549,41,2.4,2024-10-10,курсовая
439,2340,26,4.1,2025-06-16,зачет
440,5226,21,4.0,2024-12-31,курсовая
441,3155,18,3.8,2025-05-12,курсовая
442,9457,15,4.1,2025-02-06,экзамен
443,9963,42,3.1,2025-02-12,зачет
444,7299,14,2.9,2024-11-04,зачет
445,4033,37,2.7,2024-11-26,курсовая
446,2985,30,4.0,2025-06-26,экзамен
447,8254,27,4.9,2024-12-15,экзамен
448,6503,31,2.0,2024-10-02,зачет
449,7209,8,2.3,2024-12-18,зачет
450,3305,14,4.8,2025-05-25,курсовая
451,1268,9,2.8,2025-06-14,зачет
452,2632,10,2.8,2025-04-30,зачет
453,7684,22,2.6,2025-04-13,курсовая
454,7549,44,2.0,2025-06-13,зачет
455,6687,32,2.4,2025-05-02,экзамен
456,357,27,4.0,2024-09-03,экзамен
457,9508,6,2.8,2025-04-24,экзамен
458,285,32,3.0,2025-03-16,курсовая
459,6412,6,3.9,2024-11-22,курсовая
460,3393,26,4.8,2025-03-25,зачет
461,2847,42,4.8,2025-03-19,зачет
462,1234,9,4.7,2025-02-09,экзамен
463,6783,45,4.1,2024-09-23,зачет
464,4814,12,3.2,2025-02-12,экзамен
465,6968,7,3.9,2025-06-17,курсовая
466,7999,10,4.9,2025-03-11,курсовая
467,7961,7,2.9,2024-12-15,курсовая
468,7971,5,4.6,2024-10-12,курсовая
469,3144,23,3.8,2025-03-29,зачет
470,6810,18,2.6,2024-09-09,курсовая
471,3913,29,2.7,2025-01-12,экзамен
472,8118,46,4.3,2024-09-26,курсовая
473,9116,8,4.4,2025-03-16,экзамен
474,7539,15,2.5,2025-05-09,экзамен
475,6952,7,4.6,2024-09-07,курсовая
476,2028,8,3.7,2024-11-02,курсовая
477,1173,5,4.6,2025-02-26,зачет
478,4784,49,2.3,2025-02-28,курсовая
479,8958,18,2.4,2025-01-18,зачет
480,7677,19,3.3,2024-12-08,зачет
481,2075,34,4.2,2024-11-18,зачет
482,3514,18,2.8,2025-05-25,курсовая
483,5481,23,2.5,2025-06-07,курсовая
484,497,19,3.5,2025-02-25,зачет
485,3111,16,4.9,2025-01-15,экзамен
486,7651,19,2.9,2025-03-17,курсовая
487,6750,16,2.9,2025-01-19,экзамен
488,1407,26,3.7,2024-11-24,экзамен
489,6412,4,2.2,2025-03-08,зачет
490,6226,21,2.5,2025-04-12,курсовая
491,3207,48,4.2,2025-01-17,экзамен
492,7533,41,3.8,2025-04-26,курсовая
493,9066,26,3.0,2024-12-10,курсовая
494,727,40,3.7,2024-12-19,зачет
495,3223,30,4.4,2024-09-23,экзамен
496,3751,8,4.2,2025-06-27,зачет
497,8030,38,4.5,2024-12-24,курсовая
498,1188,11,2.6,2025-06-24,экзамен
499,2304,47,2.6,2025-05-30,зачет
500,2338,14,4.6,2025-01-02,экзамен
501,6116,49,3.7,2025-05-12,курсовая
502,5569,43,4.6,2025-01-20,курсовая
503,1618,34,4.1,2025-01-17,курсовая
504,9903,21,2.5,2024-10-15,курсовая
505,595,28,2.5,2024-10-26,зачет
506,3320,27,4.4,2024-10-01,экзамен
507,4077,44,4.2,2025-04-05,зачет
508,2528,27,2.7,2024-12-22,экзамен
509,8967,20,4.0,2025-02-20,курсовая
510,1127,5,4.1,2024-12-25,экзамен
511,4051,14,4.3,2024-10-05,курсовая
512,9700,6,4.3,2025-05-02,зачет
513,7826,31,3.6,2025-01-06,экзамен
514,7641,29,2.5,2025-06-23,курсовая
515,9142,48,3.2,2025-02-19,зачет
516,7286,41,4.5,2025-04-10,курсовая
517,4140,28,2.0,2024-12-27,зачет
518,9143,5,2.9,2024-09-04,курсовая
519,2184,43,4.3,2025-02-16,курсовая
520,6807,29,2.3,2024-09-25,зачет
521,4296,26,2.8,2024-12-14,курсовая
522,8467,22,3.0,2024-10-15,зачет
523,4570,32,2.1,2025-04-15,экзамен
524,6732,30,4.5,2025-05-17,экзамен
525,6432,27,2.2,2025-04-19,курсовая
526,9241,15,2.9,2025-03-24,курсовая
527,9406,38,3.9,2025-05-04,курсовая
528,9815,44,4.1,2025-01-13,курсовая
529,2380,33,2.5,2025-03-10,экзамен
530,9857,22,2.2,2024-10-21,курсовая
531,3509,13,4.3,2025-04-15,экзамен
532,8593,5,2.7,2025-01-04,зачет
533,3687,35,2.4,2025-01-28,курсовая
534,4899,38,3.7,2025-03-30,экзамен
535,9105,27,4.3,2024-09-14,экзамен
536,1259,37,4.9,2024-10-26,курсовая
537,7297,40,3.2,2024-09-06,курсовая
538,3285,12,3.9,2024-10-15,экзамен
539,17,23,4.3,2025-03-03,зачет
540,4719,46,4.9,2025-01-22,курсовая
541,894,46,2.8,2024-09-20,зачет
542,2891,10,2.3,2025-03-06,зачет
543,9867,33,3.7,2024-10-27,экзамен
544,91,20,4.1,2024-10-31,экзамен
545,4738,41,2.8,2025-06-23,курсовая
546,1859,22,2.3,2024-10-14,зачет
547,6374,45,2.6,2025-06-17,курсовая
548,6813,27,2.8,2025-02-03,экзамен
549,981,13,4.2,2024-10-18,курсовая
550,5567,40,4.8,2024-10-29,экзамен
551,7115,1,2.4,2025-01-22,экзамен
552,8417,28,2.6,2024-11-16,экзамен
553,241,28,3.0,2025-02-21,курсовая
554,4979,20,2.1,2025-01-23,экзамен
555,7906,38,4.8,2024-12-06,зачет
556,2965,47,4.6,2024-09-10,зачет
557,5645,45,2.8,2025-01-29,курсовая
558,5481,26,3.1,2024-09-10,экзамен
559,8860,19,3.6,2025-03-31,экзамен
560,3942,7,3.5,2024-12-27,зачет
561,1225,34,3.2,2024-12-02,экзамен
562,4695,20,3.3,2024-11-17,курсовая
563,8320,11,4.4,2024-12-30,зачет
564,1772,19,2.5,2025-05-23,экзамен
565,994,21,4.3,2025-05-31,экзамен
566,3003,38,3.9,2025-05-14,курсовая
567,5718,22,4.3,2025-05-10,курсовая
568,5760,21,2.4,2025-03-07,курсовая
569,1639,7,3.1,2024-10-14,курсовая
570,1353,32,4.5,2024-11-06,экзамен
571,900,1,2.9,2025-01-14,экзамен
572,773,2,2.6,2024-12-12,экзамен
573,6263,6,4.7,2024-12-01,экзамен
574,9899,2,3.5,2024-12-11,зачет
575,8484,12,2.0,2024-12-03,курсовая
576,4568,28,3.6,2024-10-31,экзамен
577,2372,14,2.7,2025-06-23,курсовая
578,7140,35,4.4,2024-10-01,экзамен
579,6437,47,2.1,2024-12-31,зачет
580,7557,8,3.2,2024-10-27,экзамен
581,9718,45,3.4,2024-11-28,экзамен
582,9200,29,2.8,2025-04-13,курсовая
583,7810,32,4.3,2024-12-29,курсовая
584,7678,40,3.6,2025-06-26,экзамен
585,3352,36,2.7,2024-10-22,курсовая
586,8294,45,4.7,2024-11-23,курсовая
587,774,23,4.9,2024-11-15,зачет
588,221,26,4.5,2024-12-24,курсовая
589,4295,35,2.7,2025-05-25,зачет
590,21,21,3.7,2024-09-20,курсовая
591,3130,33,2.5,2025-04-08,курсовая
592,1575,13,2.3,2025-05-11,экзамен
593,1318,36,2.9,2024-12-21,курсовая
594,8495,11,2.9,2025-05-26,экзамен
595,1539,3,2.9,2024-12-07,курсовая
596,3938,38,2.8,2024-10-16,экзамен
597,4995,27,3.1,2025-01-22,зачет
598,7744,11,3.9,2024-10-04,курсовая
599,5005,35,4.4,2025-05-06,экзамен
600,9335,15,2.7,2025-05-21,зачет
601,9650,48,4.3,2024-11-18,экзамен
602,1519,12,3.4,2025-02-23,курсовая
603,8728,21,4.2,2024-10-07,курсовая
604,3808,22,2.8,2024-09-04,экзамен
605,108,27,2.8,2024-10-23,экзамен
606,6135,25,4.0,2024-12-26,экзамен
607,3342,28,2.1,2024-11-30,курсовая
608,450,29,4.3,2024-12-28,зачет
609,6539,24,3.4,2025-01-14,экзамен
610,6495,18,4.8,2025-06-04,курсовая
611,6505,24,4.2,2025-02-01,курсовая
612,9228,28,2.8,2025-04-05,курсовая
613,6897,5,4.4,2025-03-04,зачет
614,8933,27,4.7,2025-02-09,курсовая
615,533,28,3.6,2024-09-17,курсовая
616,2133,43,2.9,2024-11-29,курсовая
617,8694,44,3.5,2025-03-11,экзамен
