attendance_id,student_id,schedule_id,status,attendance_date,check_time,notes
98,5901,313,2024-12-24,excused,,Исследование демократия блин.
99,8824,313,2024-12-24,present,16:46:48,
100,9146,313,2024-12-24,present,23:17:42,
101,3743,313,2024-12-24,excused,,Войти опасность эпоха.
102,449,313,2024-12-24,present,3:59:30,
103,5710,313,2024-12-24,absent,,
104,4638,313,2024-12-24,present,18:01:52,
105,8529,313,2024-12-24,present,2:52:36,
106,230,313,2024-12-24,late,22:58:58,
107,9603,313,2024-12-24,present,12:45:38,
108,5135,313,2024-12-24,present,16:28:19,
109,2424,313,2024-12-24,absent,,
110,5637,313,2024-12-24,present,9:59:58,
111,8719,313,2024-12-24,late,1:42:26,
112,4736,313,2024-12-24,present,2:08:27,
113,5740,313,2024-12-24,present,15:13:29,
114,6723,313,2024-12-24,present,3:21:58,
115,9974,313,2024-12-24,present,10:22:24,
116,1561,313,2024-12-24,present,13:59:45,
117,4294,313,2024-12-24,present,3:12:35,
118,3993,313,2024-12-24,present,17:01:09,
119,7434,313,2024-12-24,present,23:55:12,
120,3587,313,2024-12-24,present,23:28:56,
121,9186,327,2025-05-26,present,6:58:04,
122,7891,327,2025-05-26,absent,,
123,6597,327,2025-05-26,present,0:41:06,
124,4749,327,2025-05-26,present,13:09:49,
125,3001,327,2025-05-26,absent,,
126,6363,327,2025-05-26,present,7:47:23,
127,3986,327,2025-05-26,absent,,
128,5298,327,2025-05-26,present,0:34:54,
129,7072,327,2025-05-26,absent,,
130,5740,327,2025-05-26,present,16:39:22,
131,4527,327,2025-05-26,present,12:10:32,
132,5586,327,2025-05-26,present,3:29:57,
133,1721,327,2025-05-26,absent,,
134,4736,327,2025-05-26,present,0:51:51,
135,146,327,2025-05-26,present,16:01:18,
136,3865,327,2025-05-26,present,14:35:18,
137,8963,327,2025-05-26,absent,,
138,7562,327,2025-05-26,present,0:17:53,
139,5228,327,2025-05-26,excused,,Наслаждение функция сустав.
140,5575,327,2025-05-26,present,23:58:34,
141,23,327,2025-05-26,present,9:21:28,
142,3065,327,2025-05-26,present,13:33:42,
143,620,327,2025-05-26,present,7:02:14,
144,232,327,2025-05-26,absent,,
145,5300,327,2025-05-26,present,3:47:12,
146,4039,327,2025-05-26,present,17:29:20,
147,9123,327,2025-05-26,present,0:59:20,
148,4333,327,2025-05-26,present,9:45:57,
149,9974,327,2025-05-26,absent,,
150,5296,327,2025-05-26,present,20:02:26,
151,3695,416,2024-12-26,late,21:56:02,
152,8080,416,2024-12-26,present,9:07:28,
153,4294,416,2024-12-26,present,5:13:25,
154,9902,416,2024-12-26,present,8:47:10,
155,6653,416,2024-12-26,present,18:15:09,
156,5180,416,2024-12-26,present,13:35:35,
157,7842,416,2024-12-26,absent,,
158,9985,416,2024-12-26,present,23:31:08,
159,2126,416,2024-12-26,present,3:14:39,
160,4416,416,2024-12-26,absent,,
161,6730,416,2024-12-26,present,8:08:06,
162,4939,416,2024-12-26,present,20:42:41,
163,9603,416,2024-12-26,present,8:00:11,
164,8599,416,2024-12-26,present,0:17:18,
165,6167,416,2024-12-26,present,13:03:45,
166,7115,416,2024-12-26,present,19:22:36,
167,7485,416,2024-12-26,present,10:39:44,
168,4617,416,2024-12-26,present,5:01:41,
169,2154,416,2024-12-26,absent,,
170,4736,416,2024-12-26,present,2:50:55,
171,8529,416,2024-12-26,late,11:50:05,
172,8963,416,2024-12-26,present,7:32:54,
173,6436,416,2024-12-26,late,5:11:26,
174,7846,416,2024-12-26,present,22:47:06,
175,3091,416,2024-12-26,excused,,Избегать грудь художественный разнообразный бак сверкать.
176,6097,416,2024-12-26,absent,,
177,8864,416,2024-12-26,present,5:30:08,
178,2216,416,2024-12-26,absent,,
179,5461,416,2024-12-26,absent,,
180,1275,416,2024-12-26,present,23:40:34,
181,5901,685,2025-03-07,late,15:58:19,
182,6896,685,2025-03-07,present,1:41:48,
183,3744,685,2025-03-07,present,3:52:50,
184,5880,685,2025-03-07,late,12:42:44,
185,832,685,2025-03-07,present,17:33:26,
186,6164,685,2025-03-07,present,9:04:42,
187,1602,685,2025-03-07,present,7:21:43,
188,2682,685,2025-03-07,absent,,
189,1431,685,2025-03-07,present,13:08:02,
190,581,685,2025-03-07,present,17:09:36,
191,685,685,2025-03-07,present,16:47:00,
192,3091,685,2025-03-07,present,8:27:32,
193,2230,685,2025-03-07,present,22:42:04,
194,5740,685,2025-03-07,present,18:54:17,
195,2424,685,2025-03-07,present,16:06:43,
196,642,685,2025-03-07,present,14:15:33,
197,8893,685,2025-03-07,late,1:38:07,
198,9144,685,2025-03-07,absent,,
199,1599,685,2025-03-07,present,15:57:28,
200,4864,685,2025-03-07,excused,,Миг освободить бегать сходить.
201,3001,685,2025-03-07,present,19:16:21,
202,2509,685,2025-03-07,present,21:11:11,
203,6720,685,2025-03-07,late,13:52:21,
204,725,685,2025-03-07,present,16:07:55,
205,3065,685,2025-03-07,present,9:36:10,
206,5228,685,2025-03-07,present,15:12:04,
207,9902,685,2025-03-07,present,16:39:09,
208,6097,685,2025-03-07,present,2:46:06,
209,7704,685,2025-03-07,present,17:48:39,
210,9,685,2025-03-07,present,7:23:13,
211,2354,727,2024-12-26,absent,,
212,6809,727,2024-12-26,present,14:26:08,
213,7939,727,2024-12-26,present,20:20:25,
214,1721,727,2024-12-26,present,17:29:45,
215,146,727,2024-12-26,excused,,Роскошный трубка новый запретить зеленый.
216,9026,727,2024-12-26,present,19:26:14,
217,9123,727,2024-12-26,present,2:32:45,
218,232,727,2024-12-26,present,14:43:29,
219,7704,727,2024-12-26,present,14:04:21,
220,4736,727,2024-12-26,present,20:37:37,
221,3253,727,2024-12-26,present,16:43:18,
222,9540,727,2024-12-26,present,5:04:27,
223,8963,727,2024-12-26,present,7:19:16,
224,7485,727,2024-12-26,absent,,
225,1808,727,2024-12-26,present,8:53:19,
226,9944,727,2024-12-26,late,18:35:05,
227,969,727,2024-12-26,present,9:52:34,
228,2230,727,2024-12-26,present,16:13:00,
229,8893,727,2024-12-26,present,23:26:08,
230,7891,727,2024-12-26,excused,,Казнь единый аллея вытаскивать жестокий видимо.
231,3743,727,2024-12-26,present,13:52:57,
232,5637,727,2024-12-26,present,4:23:33,
233,1431,727,2024-12-26,present,19:54:54,
234,7789,727,2024-12-26,present,6:56:09,
235,5135,727,2024-12-26,excused,,Важный бочок неожиданный падаль расстегнуть приходить головка печатать.
236,5740,727,2024-12-26,absent,,
237,3233,727,2024-12-26,present,22:19:45,
238,8080,727,2024-12-26,present,16:15:44,
239,2453,727,2024-12-26,present,17:16:05,
240,1352,727,2024-12-26,present,2:00:50,
241,8724,747,2025-03-17,present,15:27:04,
242,3865,747,2025-03-17,present,21:40:35,
243,7485,747,2025-03-17,present,16:06:05,
244,6234,747,2025-03-17,present,21:03:00,
245,9832,747,2025-03-17,present,14:45:32,
246,23,747,2025-03-17,present,9:28:00,
247,80,747,2025-03-17,present,23:22:55,
248,539,747,2025-03-17,absent,,
249,6164,747,2025-03-17,present,14:46:18,
250,6349,747,2025-03-17,present,20:08:39,
251,6279,747,2025-03-17,present,4:51:06,
252,4941,747,2025-03-17,present,3:35:15,
253,7115,747,2025-03-17,present,2:34:48,
254,3743,747,2025-03-17,present,12:06:30,
255,1721,747,2025-03-17,present,1:34:33,
256,5710,747,2025-03-17,present,6:33:21,
257,4527,747,2025-03-17,present,22:41:36,
258,7939,747,2025-03-17,absent,,
259,8942,747,2025-03-17,present,3:47:16,
260,8666,747,2025-03-17,present,21:27:21,
261,3695,747,2025-03-17,excused,,Устройство конструкция написать вперед выражение вздрогнуть полюбить экзамен.
262,1712,747,2025-03-17,present,4:12:57,
263,1431,747,2025-03-17,present,8:51:39,
264,4416,747,2025-03-17,present,6:28:02,
265,3606,747,2025-03-17,present,12:35:59,
266,7562,747,2025-03-17,present,11:13:53,
267,9146,747,2025-03-17,present,18:28:42,
268,1048,747,2025-03-17,present,19:36:31,
269,7165,747,2025-03-17,absent,,
270,518,747,2025-03-17,absent,,
271,9061,794,2025-06-23,present,5:18:48,
272,7079,794,2025-06-23,present,16:36:49,
273,7072,794,2025-06-23,present,12:15:13,
274,8429,794,2025-06-23,absent,,
275,4939,794,2025-06-23,present,14:05:12,
276,6640,794,2025-06-23,present,7:02:05,
277,230,794,2025-06-23,present,0:20:35,
278,7165,794,2025-06-23,present,7:05:00,
279,5880,794,2025-06-23,present,21:55:06,
280,232,794,2025-06-23,present,5:00:57,
281,9308,794,2025-06-23,present,13:00:26,
282,2453,794,2025-06-23,present,22:08:21,
283,5300,794,2025-06-23,absent,,
284,8599,794,2025-06-23,excused,,Тревога нервно жидкий протягивать.
285,3293,794,2025-06-23,absent,,
286,146,794,2025-06-23,late,0:26:25,
287,5901,794,2025-06-23,present,20:14:42,
288,9985,794,2025-06-23,excused,,Пересечь самостоятельно полностью возбуждение болото.
289,8942,794,2025-06-23,present,6:51:32,
290,7939,794,2025-06-23,absent,,
291,5296,794,2025-06-23,present,21:36:38,
292,9902,794,2025-06-23,present,11:40:25,
293,1602,794,2025-06-23,present,3:33:15,
294,1431,794,2025-06-23,present,19:00:32,
295,3606,794,2025-06-23,present,13:47:10,
296,1944,794,2025-06-23,present,22:19:53,
297,4736,794,2025-06-23,absent,,
298,8656,794,2025-06-23,present,13:34:17,
299,5415,794,2025-06-23,present,13:53:18,
300,1215,794,2025-06-23,absent,,
301,5180,835,2025-03-19,present,13:02:11,
302,9511,835,2025-03-19,present,23:58:30,
303,5901,835,2025-03-19,absent,,
304,4941,835,2025-03-19,present,17:12:02,
305,1599,835,2025-03-19,present,5:23:22,
306,1352,835,2025-03-19,present,3:02:43,
307,232,835,2025-03-19,present,0:04:05,
308,6723,835,2025-03-19,present,11:53:30,
309,2230,835,2025-03-19,present,9:30:13,
310,8800,835,2025-03-19,absent,,
311,1712,835,2025-03-19,present,11:09:34,
312,8429,835,2025-03-19,absent,,
313,80,835,2025-03-19,present,11:42:35,
314,5710,835,2025-03-19,present,21:59:06,
315,3744,835,2025-03-19,late,4:36:17,
316,7079,835,2025-03-19,present,18:52:36,
317,581,835,2025-03-19,excused,,Желание горький кпсс подземный поезд банда.
318,1567,835,2025-03-19,absent,,
319,4333,835,2025-03-19,present,9:53:18,
320,5887,835,2025-03-19,present,10:51:17,
321,8963,835,2025-03-19,present,22:44:46,
322,146,835,2025-03-19,present,11:17:55,
323,8666,835,2025-03-19,absent,,
324,642,835,2025-03-19,absent,,
325,5548,835,2025-03-19,present,14:58:51,
326,7682,835,2025-03-19,present,21:04:39,
327,62,835,2025-03-19,present,14:38:28,
328,5575,835,2025-03-19,present,2:54:59,
329,5740,835,2025-03-19,present,12:48:22,
330,3091,835,2025-03-19,present,12:39:44,
331,2021,845,2025-03-25,present,10:35:11,
332,2354,845,2025-03-25,excused,,Дремать зато невозможно интеллектуальный.
333,3744,845,2025-03-25,present,22:32:28,
334,7939,845,2025-03-25,present,10:18:26,
335,7842,845,2025-03-25,absent,,
336,6597,845,2025-03-25,present,16:46:30,
337,5218,845,2025-03-25,present,0:46:50,
338,6720,845,2025-03-25,absent,,
339,3606,845,2025-03-25,present,18:19:57,
340,8800,845,2025-03-25,present,23:30:59,
341,7072,845,2025-03-25,present,18:28:42,
342,6653,845,2025-03-25,absent,,
343,6436,845,2025-03-25,present,19:05:07,
344,4177,845,2025-03-25,present,22:25:06,
345,6363,845,2025-03-25,present,15:44:33,
346,1488,845,2025-03-25,absent,,
347,1561,845,2025-03-25,excused,,Горький наступать аллея тысяча солнце неудобно ночь.
348,9061,845,2025-03-25,present,10:11:48,
349,8824,845,2025-03-25,present,0:26:42,
350,3253,845,2025-03-25,absent,,
351,6097,845,2025-03-25,excused,,Остановить ломать пол руководитель советовать.
352,7789,845,2025-03-25,absent,,
353,8411,845,2025-03-25,present,8:20:56,
354,1599,845,2025-03-25,present,10:14:11,
355,3743,845,2025-03-25,present,0:35:39,
356,6279,845,2025-03-25,present,13:10:46,
357,9123,845,2025-03-25,present,22:00:29,
358,7704,845,2025-03-25,present,17:18:29,
359,4209,845,2025-03-25,late,6:53:04,
360,6349,845,2025-03-25,present,11:45:15,
361,8080,851,2025-05-02,present,17:09:10,
362,5633,851,2025-05-02,late,1:42:19,
363,4527,851,2025-05-02,present,13:15:14,
364,7485,851,2025-05-02,absent,,
365,598,851,2025-05-02,present,5:04:16,
366,6436,851,2025-05-02,present,10:10:19,
367,2453,851,2025-05-02,present,19:56:17,
368,8529,851,2025-05-02,absent,,
369,4177,851,2025-05-02,present,15:13:50,
370,7042,851,2025-05-02,present,8:13:55,
371,3986,851,2025-05-02,absent,,
372,642,851,2025-05-02,present,13:19:54,
373,7846,851,2025-05-02,excused,,Возбуждение тюрьма потом изменение славный конструкция.
374,3743,851,2025-05-02,present,11:09:42,
375,7789,851,2025-05-02,absent,,
376,1645,851,2025-05-02,present,14:50:00,
377,9488,851,2025-05-02,present,11:56:34,
378,1599,851,2025-05-02,absent,,
379,832,851,2025-05-02,absent,,
380,3744,851,2025-05-02,present,5:05:19,
381,6349,851,2025-05-02,present,12:00:07,
382,6576,851,2025-05-02,present,2:41:20,
383,9974,851,2025-05-02,present,18:37:37,
384,3734,851,2025-05-02,present,8:11:40,
385,581,851,2025-05-02,present,22:35:08,
386,2509,851,2025-05-02,present,2:20:40,
387,9144,851,2025-05-02,present,9:22:21,
388,1567,851,2025-05-02,present,20:50:36,
389,3001,851,2025-05-02,present,6:26:17,
390,4090,851,2025-05-02,excused,,Возмутиться близко левый полевой сутки.
391,3993,867,2025-03-31,present,1:39:21,
392,2509,867,2025-03-31,present,16:42:07,
393,8529,867,2025-03-31,present,13:28:03,
394,9974,867,2025-03-31,present,12:44:38,
395,581,867,2025-03-31,absent,,
396,6541,867,2025-03-31,present,1:19:01,
397,7842,867,2025-03-31,present,18:46:26,
398,5934,867,2025-03-31,present,21:37:27,
399,4656,867,2025-03-31,present,12:33:37,
400,9832,867,2025-03-31,present,8:04:49,
401,3001,867,2025-03-31,present,17:43:11,
402,2453,867,2025-03-31,present,11:46:06,
403,4941,867,2025-03-31,absent,,
404,7115,867,2025-03-31,present,15:22:50,
405,9985,867,2025-03-31,present,23:13:39,
406,5586,867,2025-03-31,present,8:39:27,
407,7267,867,2025-03-31,absent,,
408,9944,867,2025-03-31,present,6:06:12,
409,3743,867,2025-03-31,absent,,
410,5799,867,2025-03-31,present,10:40:39,
411,3091,867,2025-03-31,excused,,Дружно угол еврейский трубка умирать.
412,6720,867,2025-03-31,absent,,
413,4617,867,2025-03-31,present,0:57:03,
414,5296,867,2025-03-31,present,16:51:01,
415,1567,867,2025-03-31,absent,,
416,9291,867,2025-03-31,present,10:11:06,
417,6576,867,2025-03-31,present,7:46:43,
418,2230,867,2025-03-31,absent,,
419,9186,867,2025-03-31,present,10:04:03,
420,5823,867,2025-03-31,present,15:53:21,
421,4209,1016,2025-01-29,present,4:46:28,
422,3743,1016,2025-01-29,present,10:44:37,
423,9540,1016,2025-01-29,present,0:25:27,
424,4181,1016,2025-01-29,excused,,Возбуждение приходить спорт волк бочок.
425,8942,1016,2025-01-29,present,1:28:21,
426,7682,1016,2025-01-29,present,16:39:25,
427,9146,1016,2025-01-29,present,7:04:36,
428,230,1016,2025-01-29,present,14:11:00,
429,9123,1016,2025-01-29,late,1:43:50,
430,3606,1016,2025-01-29,absent,,
431,9601,1016,2025-01-29,present,14:45:46,
432,2277,1016,2025-01-29,present,4:07:31,
433,6720,1016,2025-01-29,excused,,Запустить низкий ремень посидеть подробность мягкий.
434,598,1016,2025-01-29,absent,,
435,3751,1016,2025-01-29,present,21:40:22,
436,539,1016,2025-01-29,absent,,
437,1048,1016,2025-01-29,absent,,
438,9902,1016,2025-01-29,present,1:33:42,
439,716,1016,2025-01-29,present,22:31:30,
440,9061,1016,2025-01-29,present,2:47:55,
441,725,1016,2025-01-29,present,18:13:47,
442,2154,1016,2025-01-29,present,1:24:32,
443,9186,1016,2025-01-29,present,0:53:13,
444,6873,1016,2025-01-29,present,6:41:23,
445,6066,1016,2025-01-29,present,19:52:29,
446,3293,1016,2025-01-29,present,22:48:16,
447,7434,1016,2025-01-29,present,9:25:36,
448,6435,1016,2025-01-29,late,1:53:23,
449,581,1016,2025-01-29,excused,,Житель за некоторый снимать ручей горький зима.
450,7485,1016,2025-01-29,present,15:31:53,
451,5575,1041,2024-09-30,present,20:23:36,
452,2682,1041,2024-09-30,late,14:22:24,
453,9308,1041,2024-09-30,present,17:49:02,
454,716,1041,2024-09-30,present,17:27:40,
455,8411,1041,2024-09-30,present,4:08:01,
456,2619,1041,2024-09-30,present,16:41:15,
457,1721,1041,2024-09-30,present,5:29:10,
458,53,1041,2024-09-30,present,0:10:08,
459,5799,1041,2024-09-30,present,14:48:43,
460,5473,1041,2024-09-30,present,16:03:43,
461,8963,1041,2024-09-30,absent,,
462,7072,1041,2024-09-30,late,0:00:09,
463,8795,1041,2024-09-30,late,23:32:03,
464,4656,1041,2024-09-30,absent,,
465,598,1041,2024-09-30,present,19:36:04,
466,9902,1041,2024-09-30,present,10:19:39,
467,9632,1041,2024-09-30,present,6:44:39,
468,2277,1041,2024-09-30,present,10:07:53,
469,449,1041,2024-09-30,present,16:47:42,
470,9511,1041,2024-09-30,present,3:35:37,
471,5300,1041,2024-09-30,present,23:23:01,
472,1712,1041,2024-09-30,late,14:10:25,
473,5659,1041,2024-09-30,present,22:53:09,
474,4177,1041,2024-09-30,present,10:00:23,
475,4416,1041,2024-09-30,present,19:43:04,
476,8666,1041,2024-09-30,present,15:48:21,
477,2076,1041,2024-09-30,excused,,Находить беспомощный мгновение интеллектуальный точно командование еврейский.
478,4209,1041,2024-09-30,absent,,
479,8529,1041,2024-09-30,present,4:27:08,
480,49,1041,2024-09-30,late,16:55:20,
481,5865,1051,2025-04-30,present,19:44:48,
482,5575,1051,2025-04-30,present,22:55:55,
483,2424,1051,2025-04-30,absent,,
484,9832,1051,2025-04-30,present,10:02:00,
485,5934,1051,2025-04-30,present,23:46:56,
486,5823,1051,2025-04-30,present,22:31:30,
487,49,1051,2025-04-30,present,17:32:29,
488,8800,1051,2025-04-30,late,22:00:07,
489,4939,1051,2025-04-30,absent,,
490,3865,1051,2025-04-30,excused,,Редактор кожа бак боец инвалид неожиданно научить прежде.
491,2453,1051,2025-04-30,present,22:39:37,
492,4638,1051,2025-04-30,present,4:53:10,
493,7042,1051,2025-04-30,present,7:40:21,
494,6541,1051,2025-04-30,present,7:45:53,
495,3695,1051,2025-04-30,present,8:25:19,
496,5296,1051,2025-04-30,absent,,
497,7846,1051,2025-04-30,excused,,Ставить кольцо академик тюрьма витрина.
498,7789,1051,2025-04-30,late,7:41:58,
499,5452,1051,2025-04-30,present,22:31:44,
500,1714,1051,2025-04-30,present,1:31:46,
501,2619,1051,2025-04-30,present,6:40:15,
502,8864,1051,2025-04-30,absent,,
503,4736,1051,2025-04-30,present,19:20:20,
504,6005,1051,2025-04-30,present,6:12:44,
505,5548,1051,2025-04-30,absent,,
506,1808,1051,2025-04-30,absent,,
507,5659,1051,2025-04-30,present,11:26:07,
508,5135,1051,2025-04-30,present,3:21:24,
509,9061,1051,2025-04-30,late,6:48:52,
510,6597,1051,2025-04-30,excused,,Применяться неудобно что засунуть.
511,4941,1063,2025-06-18,present,4:44:45,
512,7562,1063,2025-06-18,absent,,
513,2354,1063,2025-06-18,absent,,
514,3986,1063,2025-06-18,present,4:41:57,
515,1944,1063,2025-06-18,absent,,
516,4416,1063,2025-06-18,present,11:48:38,
517,146,1063,2025-06-18,present,9:26:42,
518,4617,1063,2025-06-18,absent,,
519,1275,1063,2025-06-18,present,0:28:31,
520,9540,1063,2025-06-18,present,20:54:39,
521,3065,1063,2025-06-18,present,18:22:37,
522,23,1063,2025-06-18,absent,,
523,6435,1063,2025-06-18,present,4:39:22,
524,8599,1063,2025-06-18,present,2:22:48,
525,7871,1063,2025-06-18,absent,,
526,9603,1063,2025-06-18,present,3:52:55,
527,9511,1063,2025-06-18,present,20:00:42,
528,232,1063,2025-06-18,excused,,Монета некоторый поставить написать мучительно.
529,9488,1063,2025-06-18,present,21:26:01,
530,1714,1063,2025-06-18,present,22:38:03,
531,707,1063,2025-06-18,excused,,Возникновение непривычный написать исполнять коммунизм серьезный хлеб.
532,2453,1063,2025-06-18,present,6:54:38,
533,8942,1063,2025-06-18,present,21:42:52,
534,2021,1063,2025-06-18,present,2:01:45,
535,725,1063,2025-06-18,absent,,
536,1808,1063,2025-06-18,absent,,
537,5473,1063,2025-06-18,present,21:44:19,
538,5228,1063,2025-06-18,present,10:18:55,
539,8800,1063,2025-06-18,present,0:44:00,
540,8666,1063,2025-06-18,present,18:33:09,
541,8824,1118,2025-01-06,absent,,
542,4749,1118,2025-01-06,present,2:47:05,
543,6597,1118,2025-01-06,present,19:36:47,
544,2021,1118,2025-01-06,present,2:17:41,
545,8411,1118,2025-01-06,present,15:40:00,
546,4656,1118,2025-01-06,present,22:11:21,
547,5228,1118,2025-01-06,present,0:21:56,
548,1048,1118,2025-01-06,present,9:07:28,
549,7434,1118,2025-01-06,present,7:04:41,
550,1712,1118,2025-01-06,absent,,
551,3065,1118,2025-01-06,absent,,
552,8015,1118,2025-01-06,excused,,Белье плод сопровождаться.
553,3695,1118,2025-01-06,present,22:36:15,
554,9488,1118,2025-01-06,absent,,
555,2076,1118,2025-01-06,present,16:23:51,
556,6436,1118,2025-01-06,present,0:16:55,
557,4736,1118,2025-01-06,absent,,
558,1808,1118,2025-01-06,excused,,Очередной выраженный висеть военный мера.
559,581,1118,2025-01-06,late,18:23:51,
560,2216,1118,2025-01-06,present,12:34:07,
561,900,1118,2025-01-06,absent,,
562,539,1118,2025-01-06,present,2:49:42,
563,9985,1118,2025-01-06,present,4:01:28,
564,7871,1118,2025-01-06,late,19:19:59,
565,4638,1118,2025-01-06,present,15:56:01,
566,5880,1118,2025-01-06,present,9:18:24,
567,8795,1118,2025-01-06,excused,,Соответствие задержать что расстегнуть.
568,3233,1118,2025-01-06,absent,,
569,642,1118,2025-01-06,present,12:53:09,
570,49,1118,2025-01-06,present,13:12:37,
571,232,1121,2024-10-08,absent,,
572,7846,1121,2024-10-08,absent,,
573,8411,1121,2024-10-08,absent,,
574,518,1121,2024-10-08,present,22:16:03,
575,2216,1121,2024-10-08,present,11:17:47,
576,6640,1121,2024-10-08,present,11:04:14,
577,9601,1121,2024-10-08,present,6:22:43,
578,5633,1121,2024-10-08,present,23:17:07,
579,2509,1121,2024-10-08,present,15:53:06,
580,9123,1121,2024-10-08,present,22:53:09,
581,1048,1121,2024-10-08,present,23:32:15,
582,8719,1121,2024-10-08,absent,,
583,2708,1121,2024-10-08,present,2:03:01,
584,8795,1121,2024-10-08,absent,,
585,6097,1121,2024-10-08,present,14:34:19,
586,3743,1121,2024-10-08,present,1:57:19,
587,7682,1121,2024-10-08,present,15:12:53,
588,3001,1121,2024-10-08,present,16:54:34,
589,5901,1121,2024-10-08,present,19:41:15,
590,9308,1121,2024-10-08,present,1:18:14,
591,1567,1121,2024-10-08,present,22:27:42,
592,9291,1121,2024-10-08,late,0:10:47,
593,5218,1121,2024-10-08,present,10:51:42,
