schedule_id,course_id,teacher_id,classroom,class_time,duration
92,13,178,Корпус-4 ауд-253,2024-10-24 15:30:00,90
93,44,50,Корпус-4 ауд-369,2025-02-24 13:30:00,90
94,4,195,Корпус-4 ауд-236,2025-03-10 15:30:00,90
95,26,69,Корпус-3 ауд-264,2024-10-18 09:00:00,90
96,38,123,Корпус-2 ауд-559,2025-02-11 17:30:00,120
97,32,67,Корпус-1 ауд-488,2024-10-23 09:00:00,90
98,12,37,Корпус-5 ауд-585,2025-02-10 13:30:00,90
99,1,192,Корпус-1 ауд-369,2025-04-24 17:30:00,120
100,39,12,Корпус-5 ауд-345,2024-12-09 13:30:00,90
101,18,105,Корпус-3 ауд-519,2025-05-23 13:30:00,90
102,23,200,Корпус-1 ауд-482,2024-11-14 13:30:00,90
103,33,158,Корпус-1 ауд-433,2025-03-19 09:00:00,90
104,9,77,Корпус-5 ауд-105,2024-12-30 09:00:00,90
105,29,3,Корпус-5 ауд-563,2025-03-19 17:30:00,120
106,2,183,Корпус-4 ауд-349,2024-10-07 17:30:00,120
107,8,136,Корпус-3 ауд-229,2024-12-03 15:30:00,90
108,5,121,Корпус-1 ауд-401,2024-10-07 11:00:00,90
109,40,122,Корпус-5 ауд-515,2025-01-08 17:30:00,120
110,5,121,Корпус-4 ауд-199,2024-11-12 15:30:00,90
111,7,177,Корпус-3 ауд-298,2024-10-07 13:30:00,90
112,32,67,Корпус-2 ауд-219,2025-06-20 13:30:00,90
113,40,122,Корпус-4 ауд-241,2025-06-11 17:30:00,120
114,10,106,Корпус-2 ауд-201,2025-06-30 15:30:00,90
115,14,166,Корпус-2 ауд-179,2024-09-23 15:30:00,90
116,44,50,Корпус-5 ауд-158,2024-12-23 17:30:00,120
117,41,15,Корпус-3 ауд-100,2025-01-03 11:00:00,90
118,43,63,Корпус-4 ауд-248,2025-06-16 11:00:00,90
119,48,158,Корпус-4 ауд-225,2025-04-22 13:30:00,90
120,9,77,Корпус-1 ауд-265,2025-01-27 11:00:00,90
121,12,37,Корпус-5 ауд-248,2025-04-17 09:00:00,90
122,9,77,Корпус-1 ауд-229,2025-06-10 15:30:00,90
123,16,42,Корпус-4 ауд-113,2025-06-12 17:30:00,120
124,37,130,Корпус-5 ауд-318,2024-10-25 11:00:00,90
125,15,169,Корпус-1 ауд-238,2024-12-23 13:30:00,90
126,6,168,Корпус-4 ауд-330,2025-03-17 11:00:00,90
127,10,106,Корпус-4 ауд-108,2025-03-17 17:30:00,120
128,33,158,Корпус-3 ауд-397,2024-12-18 09:00:00,90
129,15,169,Корпус-5 ауд-147,2024-11-05 15:30:00,90
130,23,200,Корпус-3 ауд-348,2025-02-14 11:00:00,90
131,19,104,Корпус-4 ауд-286,2024-10-08 11:00:00,90
132,20,173,Корпус-4 ауд-430,2025-06-30 17:30:00,120
133,24,158,Корпус-3 ауд-368,2024-09-20 15:30:00,90
134,47,76,Корпус-5 ауд-482,2024-11-05 17:30:00,120
135,2,183,Корпус-3 ауд-562,2024-12-19 13:30:00,90
136,40,122,Корпус-1 ауд-225,2024-10-23 09:00:00,90
137,7,177,Корпус-5 ауд-374,2024-12-31 13:30:00,90
138,42,68,Корпус-3 ауд-590,2024-12-02 17:30:00,120
139,19,104,Корпус-1 ауд-570,2025-06-05 15:30:00,90
140,32,67,Корпус-5 ауд-263,2025-05-12 11:00:00,90
141,46,80,Корпус-4 ауд-228,2025-02-18 15:30:00,90
142,37,130,Корпус-4 ауд-242,2024-11-27 11:00:00,90
143,40,122,Корпус-2 ауд-140,2024-09-09 11:00:00,90
144,27,65,Корпус-5 ауд-240,2025-03-06 17:30:00,120
145,38,123,Корпус-4 ауд-289,2025-04-24 15:30:00,90
146,41,15,Корпус-5 ауд-141,2025-06-16 17:30:00,120
147,23,200,Корпус-5 ауд-526,2024-11-29 17:30:00,120
148,37,130,Корпус-3 ауд-291,2024-09-10 15:30:00,90
149,6,168,Корпус-5 ауд-534,2025-06-18 11:00:00,90
150,16,42,Корпус-2 ауд-516,2025-02-20 17:30:00,120
151,35,9,Корпус-1 ауд-570,2024-10-25 09:00:00,90
152,9,77,Корпус-5 ауд-106,2024-11-01 13:30:00,90
153,36,70,Корпус-3 ауд-478,2024-09-12 09:00:00,90
154,40,122,Корпус-2 ауд-294,2025-03-24 13:30:00,90
155,48,158,Корпус-3 ауд-245,2025-03-17 09:00:00,90
156,9,77,Корпус-5 ауд-134,2024-12-16 17:30:00,120
157,27,65,Корпус-3 ауд-255,2025-01-20 11:00:00,90
158,36,70,Корпус-4 ауд-164,2024-09-09 15:30:00,90
159,3,30,Корпус-2 ауд-196,2024-11-25 17:30:00,120
160,27,65,Корпус-2 ауд-580,2024-09-04 09:00:00,90
161,23,200,Корпус-4 ауд-272,2024-12-03 11:00:00,90
162,17,63,Корпус-3 ауд-549,2025-04-23 11:00:00,90
163,25,189,Корпус-3 ауд-413,2024-10-23 15:30:00,90
164,9,77,Корпус-5 ауд-443,2025-06-30 17:30:00,120
165,11,6,Корпус-5 ауд-302,2025-06-24 11:00:00,90
166,49,141,Корпус-2 ауд-473,2024-10-30 09:00:00,90
167,15,169,Корпус-4 ауд-569,2025-03-21 09:00:00,90
168,24,158,Корпус-4 ауд-386,2025-01-20 15:30:00,90
169,23,200,Корпус-3 ауд-424,2025-03-10 15:30:00,90
170,49,141,Корпус-5 ауд-174,2024-12-02 15:30:00,90
171,17,63,Корпус-4 ауд-536,2025-03-10 15:30:00,90
172,32,67,Корпус-1 ауд-401,2025-04-08 15:30:00,90
173,38,123,Корпус-2 ауд-397,2025-03-10 17:30:00,120
174,1,192,Корпус-2 ауд-544,2025-04-14 15:30:00,90
175,19,104,Корпус-4 ауд-113,2025-01-09 17:30:00,120
176,8,136,Корпус-5 ауд-355,2025-04-07 17:30:00,120
177,9,77,Корпус-3 ауд-599,2024-12-09 09:00:00,90
178,23,200,Корпус-1 ауд-451,2025-05-02 13:30:00,90
179,26,69,Корпус-3 ауд-438,2025-03-07 09:00:00,90
180,40,122,Корпус-2 ауд-407,2025-01-08 15:30:00,90
181,44,50,Корпус-5 ауд-558,2025-06-02 09:00:00,90
182,2,183,Корпус-1 ауд-108,2024-11-11 15:30:00,90
183,20,173,Корпус-2 ауд-463,2025-06-10 11:00:00,90
184,34,184,Корпус-2 ауд-307,2024-09-30 13:30:00,90
185,45,43,Корпус-4 ауд-364,2024-12-16 11:00:00,90
186,30,92,Корпус-3 ауд-297,2025-02-17 11:00:00,90
187,11,6,Корпус-3 ауд-418,2024-10-01 13:30:00,90
188,31,179,Корпус-1 ауд-477,2024-11-18 13:30:00,90
189,5,121,Корпус-4 ауд-161,2025-05-23 09:00:00,90
190,38,123,Корпус-4 ауд-263,2024-12-02 11:00:00,90
191,6,168,Корпус-5 ауд-530,2025-05-01 15:30:00,90
192,44,50,Корпус-3 ауд-510,2024-09-03 13:30:00,90
193,48,158,Корпус-1 ауд-466,2024-11-28 17:30:00,120
194,48,158,Корпус-4 ауд-443,2025-02-11 09:00:00,90
195,49,141,Корпус-5 ауд-255,2024-11-28 09:00:00,90
196,8,136,Корпус-3 ауд-464,2024-10-07 13:30:00,90
197,23,200,Корпус-2 ауд-453,2024-09-16 17:30:00,120
198,29,3,Корпус-3 ауд-200,2025-02-25 15:30:00,90
199,46,80,Корпус-5 ауд-420,2024-10-17 15:30:00,90
200,45,43,Корпус-4 ауд-367,2025-02-12 11:00:00,90
201,20,173,Корпус-3 ауд-117,2025-05-29 15:30:00,90
202,4,195,Корпус-1 ауд-278,2025-06-23 09:00:00,90
203,17,63,Корпус-1 ауд-309,2025-06-23 17:30:00,120
204,10,106,Корпус-4 ауд-193,2025-06-09 09:00:00,90
205,16,42,Корпус-5 ауд-154,2025-03-24 13:30:00,90
206,19,104,Корпус-5 ауд-224,2024-12-30 17:30:00,120
207,40,122,Корпус-1 ауд-523,2024-12-30 11:00:00,90
208,37,130,Корпус-5 ауд-579,2025-02-13 13:30:00,90
209,27,65,Корпус-4 ауд-391,2025-05-29 17:30:00,120
210,45,43,Корпус-1 ауд-247,2025-05-02 17:30:00,120
211,44,50,Корпус-3 ауд-143,2025-06-13 11:00:00,90
212,37,130,Корпус-1 ауд-345,2024-10-18 11:00:00,90
213,29,3,Корпус-4 ауд-452,2025-01-27 11:00:00,90
214,14,166,Корпус-1 ауд-524,2025-03-11 17:30:00,120
215,21,99,Корпус-5 ауд-210,2024-10-09 09:00:00,90
216,10,106,Корпус-5 ауд-233,2024-12-30 17:30:00,120
217,43,63,Корпус-4 ауд-498,2024-09-16 17:30:00,120
218,12,37,Корпус-4 ауд-326,2024-10-16 11:00:00,90
219,17,63,Корпус-5 ауд-302,2025-01-16 15:30:00,90
220,46,80,Корпус-4 ауд-123,2024-11-29 15:30:00,90
221,37,130,Корпус-4 ауд-290,2025-05-29 13:30:00,90
222,14,166,Корпус-3 ауд-329,2024-09-09 11:00:00,90
223,4,195,Корпус-3 ауд-248,2024-12-12 09:00:00,90
224,29,3,Корпус-3 ауд-583,2025-05-09 15:30:00,90
225,37,130,Корпус-2 ауд-281,2025-03-17 09:00:00,90
226,36,70,Корпус-1 ауд-191,2024-10-03 13:30:00,90
227,34,184,Корпус-5 ауд-433,2025-06-20 17:30:00,120
228,4,195,Корпус-5 ауд-380,2024-10-09 09:00:00,90
229,11,6,Корпус-5 ауд-566,2024-09-09 13:30:00,90
230,9,77,Корпус-5 ауд-329,2025-04-08 11:00:00,90
231,43,63,Корпус-3 ауд-348,2025-06-09 17:30:00,120
232,36,70,Корпус-3 ауд-501,2024-11-01 15:30:00,90
233,7,177,Корпус-2 ауд-123,2025-06-24 17:30:00,120
234,11,6,Корпус-2 ауд-247,2025-02-14 09:00:00,90
235,11,6,Корпус-3 ауд-143,2025-05-07 13:30:00,90
236,39,12,Корпус-4 ауд-476,2025-05-20 13:30:00,90
237,6,168,Корпус-2 ауд-159,2025-05-05 15:30:00,90
238,19,104,Корпус-1 ауд-367,2025-02-17 09:00:00,90
239,5,121,Корпус-1 ауд-144,2025-05-06 13:30:00,90
240,7,177,Корпус-3 ауд-422,2025-05-26 15:30:00,90
241,5,121,Корпус-1 ауд-218,2024-09-26 13:30:00,90
242,11,6,Корпус-3 ауд-325,2025-03-10 13:30:00,90
243,35,9,Корпус-1 ауд-121,2024-11-15 13:30:00,90
244,46,80,Корпус-5 ауд-254,2024-10-25 09:00:00,90
245,13,178,Корпус-5 ауд-400,2024-12-31 11:00:00,90
246,16,42,Корпус-4 ауд-111,2024-12-09 15:30:00,90
247,14,166,Корпус-5 ауд-449,2024-11-11 09:00:00,90
248,13,178,Корпус-4 ауд-258,2024-10-25 17:30:00,120
249,47,76,Корпус-5 ауд-223,2025-04-14 13:30:00,90
250,5,121,Корпус-3 ауд-478,2025-01-28 17:30:00,120
251,35,9,Корпус-2 ауд-503,2025-01-29 15:30:00,90
252,43,63,Корпус-5 ауд-211,2025-04-02 15:30:00,90
253,36,70,Корпус-4 ауд-171,2025-01-13 11:00:00,90
254,47,76,Корпус-3 ауд-266,2024-10-22 17:30:00,120
255,4,195,Корпус-1 ауд-348,2024-10-28 09:00:00,90
256,24,158,Корпус-2 ауд-220,2025-03-25 13:30:00,90
257,41,15,Корпус-3 ауд-546,2025-06-30 11:00:00,90
258,42,68,Корпус-3 ауд-431,2024-10-09 17:30:00,120
259,7,177,Корпус-4 ауд-305,2024-12-31 11:00:00,90
260,31,179,Корпус-5 ауд-118,2025-04-23 09:00:00,90
261,1,192,Корпус-1 ауд-233,2025-05-21 13:30:00,90
262,43,63,Корпус-5 ауд-564,2025-01-14 17:30:00,120
263,11,6,Корпус-3 ауд-459,2025-04-30 17:30:00,120
264,23,200,Корпус-5 ауд-509,2025-05-22 15:30:00,90
265,8,136,Корпус-2 ауд-531,2024-11-11 13:30:00,90
266,3,30,Корпус-3 ауд-105,2025-04-14 17:30:00,120
267,19,104,Корпус-1 ауд-478,2025-06-09 15:30:00,90
268,39,12,Корпус-5 ауд-396,2024-09-16 17:30:00,120
269,40,122,Корпус-2 ауд-137,2025-05-29 15:30:00,90
270,29,3,Корпус-5 ауд-356,2025-04-02 09:00:00,90
271,18,105,Корпус-4 ауд-591,2025-03-10 17:30:00,120
272,48,158,Корпус-1 ауд-214,2025-04-07 09:00:00,90
273,27,65,Корпус-5 ауд-250,2024-09-12 15:30:00,90
274,15,169,Корпус-1 ауд-447,2025-02-17 11:00:00,90
275,48,158,Корпус-1 ауд-286,2025-04-16 09:00:00,90
276,3,30,Корпус-4 ауд-229,2024-12-23 13:30:00,90
277,42,68,Корпус-4 ауд-297,2025-06-02 11:00:00,90
278,21,99,Корпус-4 ауд-218,2025-04-30 09:00:00,90
279,45,43,Корпус-3 ауд-212,2025-03-17 15:30:00,90
280,3,30,Корпус-2 ауд-325,2025-06-05 15:30:00,90
281,6,168,Корпус-5 ауд-331,2025-03-31 15:30:00,90
282,22,58,Корпус-2 ауд-502,2024-10-03 17:30:00,120
283,30,92,Корпус-4 ауд-505,2025-05-12 17:30:00,120
284,47,76,Корпус-4 ауд-243,2024-12-06 13:30:00,90
285,35,9,Корпус-5 ауд-130,2025-03-03 17:30:00,120
286,13,178,Корпус-5 ауд-415,2025-01-13 15:30:00,90
287,12,37,Корпус-4 ауд-562,2024-11-04 11:00:00,90
288,13,178,Корпус-2 ауд-145,2024-09-03 13:30:00,90
289,8,136,Корпус-1 ауд-577,2024-11-25 15:30:00,90
290,35,9,Корпус-3 ауд-188,2024-10-08 15:30:00,90
291,28,20,Корпус-3 ауд-527,2024-11-11 13:30:00,90
292,40,122,Корпус-1 ауд-559,2025-03-14 15:30:00,90
293,46,80,Корпус-1 ауд-534,2025-06-16 13:30:00,90
294,42,68,Корпус-1 ауд-289,2025-01-06 11:00:00,90
295,5,121,Корпус-3 ауд-245,2025-06-06 13:30:00,90
296,2,183,Корпус-5 ауд-478,2025-04-28 11:00:00,90
297,15,169,Корпус-4 ауд-478,2024-10-11 17:30:00,120
298,36,70,Корпус-3 ауд-231,2025-01-28 09:00:00,90
299,31,179,Корпус-5 ауд-508,2025-01-28 09:00:00,90
300,27,65,Корпус-4 ауд-385,2025-05-26 09:00:00,90
301,42,68,Корпус-5 ауд-359,2025-02-11 15:30:00,90
302,5,121,Корпус-2 ауд-110,2025-04-17 17:30:00,120
303,17,63,Корпус-5 ауд-513,2024-09-09 11:00:00,90
304,40,122,Корпус-2 ауд-404,2024-12-11 15:30:00,90
305,9,77,Корпус-2 ауд-259,2025-01-20 11:00:00,90
306,37,130,Корпус-4 ауд-101,2025-06-23 15:30:00,90
307,36,70,Корпус-1 ауд-259,2024-10-21 15:30:00,90
308,42,68,Корпус-3 ауд-101,2025-06-09 11:00:00,90
309,5,121,Корпус-1 ауд-197,2024-09-09 13:30:00,90
310,17,63,Корпус-3 ауд-179,2024-09-30 13:30:00,90
311,30,92,Корпус-3 ауд-297,2024-11-07 09:00:00,90
312,48,158,Корпус-2 ауд-173,2024-10-15 15:30:00,90
313,1,192,Корпус-2 ауд-525,2024-12-24 09:00:00,90
314,43,63,Корпус-5 ауд-230,2024-10-29 09:00:00,90
315,34,184,Корпус-3 ауд-276,2025-01-30 09:00:00,90
316,29,3,Корпус-5 ауд-441,2024-11-11 13:30:00,90
317,26,69,Корпус-2 ауд-545,2025-01-01 13:30:00,90
318,45,43,Корпус-4 ауд-273,2025-05-01 09:00:00,90
319,21,99,Корпус-4 ауд-562,2025-05-06 17:30:00,120
320,49,141,Корпус-1 ауд-361,2025-06-13 13:30:00,90
321,13,178,Корпус-5 ауд-572,2024-09-27 11:00:00,90
322,34,184,Корпус-1 ауд-324,2025-01-10 11:00:00,90
323,37,130,Корпус-1 ауд-177,2024-11-14 15:30:00,90
324,17,63,Корпус-2 ауд-257,2025-04-28 09:00:00,90
325,34,184,Корпус-2 ауд-436,2025-01-20 17:30:00,120
326,43,63,Корпус-4 ауд-371,2025-01-30 09:00:00,90
327,1,192,Корпус-2 ауд-177,2025-05-26 15:30:00,90
328,37,130,Корпус-2 ауд-331,2024-12-23 11:00:00,90
329,32,67,Корпус-2 ауд-549,2025-06-23 15:30:00,90
330,16,42,Корпус-4 ауд-328,2024-09-23 15:30:00,90
331,40,122,Корпус-3 ауд-322,2025-06-18 17:30:00,120
332,46,80,Корпус-5 ауд-506,2025-05-26 17:30:00,120
333,12,37,Корпус-5 ауд-424,2025-02-17 13:30:00,90
334,23,200,Корпус-4 ауд-375,2024-11-04 15:30:00,90
335,7,177,Корпус-4 ауд-485,2025-04-28 13:30:00,90
336,6,168,Корпус-2 ауд-599,2024-10-31 17:30:00,120
337,36,70,Корпус-3 ауд-410,2025-02-07 17:30:00,120
338,17,63,Корпус-1 ауд-203,2024-11-18 15:30:00,90
339,8,136,Корпус-3 ауд-426,2024-11-25 15:30:00,90
340,44,50,Корпус-4 ауд-309,2024-10-08 17:30:00,120
341,42,68,Корпус-5 ауд-593,2024-10-11 09:00:00,90
342,2,183,Корпус-3 ауд-217,2025-06-05 15:30:00,90
343,13,178,Корпус-4 ауд-559,2025-06-05 15:30:00,90
344,13,178,Корпус-5 ауд-207,2025-06-17 11:00:00,90
345,35,9,Корпус-2 ауд-138,2025-03-17 15:30:00,90
346,12,37,Корпус-2 ауд-547,2025-06-30 09:00:00,90
347,37,130,Корпус-4 ауд-405,2024-09-05 09:00:00,90
348,46,80,Корпус-2 ауд-254,2024-12-30 09:00:00,90
349,43,63,Корпус-5 ауд-448,2024-10-30 17:30:00,120
350,27,65,Корпус-2 ауд-202,2024-09-30 09:00:00,90
351,13,178,Корпус-3 ауд-507,2024-09-25 09:00:00,90
352,49,141,Корпус-1 ауд-153,2025-06-09 15:30:00,90
353,18,105,Корпус-3 ауд-376,2025-06-23 09:00:00,90
354,44,50,Корпус-2 ауд-316,2025-02-17 11:00:00,90
355,33,158,Корпус-1 ауд-544,2025-04-01 09:00:00,90
356,15,169,Корпус-2 ауд-356,2025-05-26 17:30:00,120
357,34,184,Корпус-5 ауд-429,2024-09-30 13:30:00,90
358,17,63,Корпус-1 ауд-156,2025-05-21 13:30:00,90
359,26,69,Корпус-2 ауд-388,2024-12-09 15:30:00,90
360,33,158,Корпус-1 ауд-284,2025-02-17 15:30:00,90
361,32,67,Корпус-3 ауд-514,2024-11-11 09:00:00,90
362,9,77,Корпус-5 ауд-511,2024-11-25 09:00:00,90
363,11,6,Корпус-4 ауд-496,2024-11-27 15:30:00,90
364,29,3,Корпус-5 ауд-315,2024-10-14 11:00:00,90
365,32,67,Корпус-4 ауд-280,2025-06-23 09:00:00,90
366,36,70,Корпус-4 ауд-119,2025-02-25 11:00:00,90
367,10,106,Корпус-2 ауд-514,2024-11-06 11:00:00,90
368,47,76,Корпус-4 ауд-382,2024-11-04 17:30:00,120
369,16,42,Корпус-2 ауд-577,2025-02-24 13:30:00,90
370,3,30,Корпус-5 ауд-456,2024-12-09 11:00:00,90
371,5,121,Корпус-1 ауд-582,2024-10-16 11:00:00,90
372,46,80,Корпус-1 ауд-589,2024-11-19 15:30:00,90
373,16,42,Корпус-1 ауд-130,2025-01-07 17:30:00,120
374,36,70,Корпус-1 ауд-139,2025-06-19 13:30:00,90
375,37,130,Корпус-5 ауд-555,2024-10-21 17:30:00,120
376,8,136,Корпус-1 ауд-302,2025-06-27 11:00:00,90
377,25,189,Корпус-5 ауд-552,2025-03-31 17:30:00,120
378,41,15,Корпус-1 ауд-388,2025-02-10 17:30:00,120
379,37,130,Корпус-3 ауд-194,2025-01-31 15:30:00,90
380,24,158,Корпус-4 ауд-314,2025-06-03 13:30:00,90
381,39,12,Корпус-5 ауд-209,2024-12-05 15:30:00,90
382,48,158,Корпус-1 ауд-490,2025-06-18 15:30:00,90
383,48,158,Корпус-2 ауд-158,2024-10-07 13:30:00,90
384,35,9,Корпус-4 ауд-588,2025-05-19 11:00:00,90
385,37,130,Корпус-2 ауд-127,2025-04-15 17:30:00,120
386,2,183,Корпус-4 ауд-142,2025-06-04 13:30:00,90
387,23,200,Корпус-2 ауд-396,2025-01-06 09:00:00,90
388,17,63,Корпус-5 ауд-105,2024-11-19 17:30:00,120
389,45,43,Корпус-1 ауд-567,2025-01-31 09:00:00,90
390,46,80,Корпус-4 ауд-190,2025-06-16 15:30:00,90
391,35,9,Корпус-4 ауд-103,2025-02-24 11:00:00,90
392,13,178,Корпус-3 ауд-352,2025-01-14 13:30:00,90
393,49,141,Корпус-3 ауд-557,2025-04-14 15:30:00,90
394,20,173,Корпус-5 ауд-466,2025-03-18 17:30:00,120
395,24,158,Корпус-5 ауд-187,2024-10-31 09:00:00,90
396,27,65,Корпус-2 ауд-336,2025-05-19 11:00:00,90
397,33,158,Корпус-1 ауд-555,2024-11-04 13:30:00,90
398,22,58,Корпус-2 ауд-405,2024-10-21 11:00:00,90
399,22,58,Корпус-2 ауд-394,2025-05-19 15:30:00,90
400,31,179,Корпус-2 ауд-593,2025-01-09 13:30:00,90
401,42,68,Корпус-1 ауд-157,2024-12-16 13:30:00,90
402,6,168,Корпус-2 ауд-381,2025-05-13 13:30:00,90
403,8,136,Корпус-3 ауд-249,2025-05-05 11:00:00,90
404,13,178,Корпус-1 ауд-359,2024-11-07 17:30:00,120
405,18,105,Корпус-3 ауд-284,2024-12-20 17:30:00,120
406,26,69,Корпус-4 ауд-379,2025-05-27 09:00:00,90
407,39,12,Корпус-4 ауд-516,2025-04-11 17:30:00,120
408,22,58,Корпус-3 ауд-485,2024-10-01 15:30:00,90
409,43,63,Корпус-4 ауд-310,2025-02-07 17:30:00,120
410,24,158,Корпус-2 ауд-344,2025-03-03 13:30:00,90
